# pop0 	 pop1 	 pop2 	 pop3 	 pop4 	 pop5 	 pop6 	 pop7 	 pop8 	 pop9
1.247236994991976350e-01	5.725702854837189798e-02	8.053661349314340800e-02	8.385959764725614551e-02	6.475960168028645214e-02	9.872439534227003821e-02	1.153757106839659180e-01	6.766166199066420139e-02	1.328796319773281054e-01	1.443998086083368992e-01
2.077780091845260746e-01	2.345510636508403024e-01	1.845812550250484907e-01	1.440755912926953153e-01	2.102162314067808901e-01	2.911948684395398446e-01	3.816270485768765708e-01	1.677721141244407077e-01	2.308739988682123045e-01	3.445325435403734371e-01
5.341309890812345751e-01	4.174432371439758538e-01	4.848879700632764966e-01	3.790935846817912735e-01	4.696237784405202786e-01	4.730911679145540782e-01	7.115128488183326549e-01	4.448539634844407287e-01	5.653920093351270104e-01	6.723656692280387537e-01
7.123921854281037858e-01	6.044082083557966723e-01	6.259539906804461040e-01	7.101421615435941082e-01	7.877247763707068140e-01	8.405793420168437002e-01	8.532702915468540761e-01	5.759653676281294432e-01	7.866970792517293809e-01	7.925962750726227579e-01
9.179688638664649236e-01	8.817317182578061630e-01	8.602144653868496471e-01	8.906443670231912746e-01	9.030231132865942367e-01	9.293242870463580552e-01	9.138514079503037291e-01	8.813794288097781537e-01	8.906709312508814813e-01	0.000000000000000000e+00
8.817609717546442960e-01	9.161397639933370751e-01	8.962111077798773362e-01	9.161984639821164622e-01	9.059366571248624878e-01	8.040722272832651063e-01	8.322753934708526646e-01	9.276463352909450899e-01	8.934494645354925657e-01	8.026413517875095049e-01
7.479651592634048995e-01	7.950890824915709532e-01	8.824813585527404580e-01	7.963732520741092502e-01	6.908555813132806200e-01	6.414479546480081895e-01	5.573546359603757105e-01	8.647829401458269061e-01	7.792903576696561530e-01	6.540074321046015493e-01
5.228180153655418438e-01	6.160227913290113877e-01	5.769121837678469200e-01	5.809039875438771761e-01	5.827934717472319504e-01	3.329080739384312482e-01	4.025614747454499542e-01	6.580994376531298373e-01	4.406644732891623617e-01	4.548550583647041901e-01
2.744293751407144155e-01	2.857213736043521801e-01	3.586372216657378043e-01	3.228261614881416386e-01	1.423868218889574877e-01	2.048243448521578636e-01	8.122204421390244455e-02	4.268791705159122873e-01	2.842461946594755373e-01	1.345960825001109307e-01
1.126084054070765200e-01	1.353780956811799219e-01	1.537463295928667706e-01	2.193238995892489440e-01	8.322688950105856798e-02	7.531373928500953441e-02	1.103950832240398472e-01	1.489229491966587438e-01	1.568098878041305488e-01	1.007683904682593473e-01
